Fri Aug 14 13:32:34 2020
Joystick Mode (120s)
{'Time': 16254, 'Left_wheel_dist': -1230, 'Right_wheel_dist': -1494, 'IMU_roll': -0.04, 'IMU_pitch': -0.08, 'IMU_yaw': 5.96, 'IMU_Acc_x': -0.37, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 8.82, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 16358, 'Left_wheel_dist': -1268, 'Right_wheel_dist': -1536, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 5.92, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 10.16, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16462, 'Left_wheel_dist': -1308, 'Right_wheel_dist': -1574, 'IMU_roll': -0.03, 'IMU_pitch': -0.05, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16567, 'Left_wheel_dist': -1348, 'Right_wheel_dist': -1613, 'IMU_roll': -0.05, 'IMU_pitch': -0.04, 'IMU_yaw': 5.82, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.83, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 16656, 'Left_wheel_dist': -1385, 'Right_wheel_dist': -1651, 'IMU_roll': -0.08, 'IMU_pitch': -0.12, 'IMU_yaw': 5.79, 'IMU_Acc_x': -0.73, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 9.56, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 16758, 'Left_wheel_dist': -1432, 'Right_wheel_dist': -1698, 'IMU_roll': -0.05, 'IMU_pitch': -0.07, 'IMU_yaw': 5.74, 'IMU_Acc_x': -0.36, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 10.13, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16862, 'Left_wheel_dist': -1481, 'Right_wheel_dist': -1748, 'IMU_roll': -0.04, 'IMU_pitch': -0.04, 'IMU_yaw': 5.66, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.95, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16966, 'Left_wheel_dist': -1529, 'Right_wheel_dist': -1791, 'IMU_roll': -0.03, 'IMU_pitch': -0.04, 'IMU_yaw': 5.60, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.63, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17057, 'Left_wheel_dist': -1565, 'Right_wheel_dist': -1826, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.58, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17162, 'Left_wheel_dist': -1607, 'Right_wheel_dist': -1864, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.54, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.69, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 17266, 'Left_wheel_dist': -1640, 'Right_wheel_dist': -1897, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.53, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17356, 'Left_wheel_dist': -1669, 'Right_wheel_dist': -1921, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 5.50, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 17460, 'Left_wheel_dist': -1700, 'Right_wheel_dist': -1941, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 5.49, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.65, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17563, 'Left_wheel_dist': -1720, 'Right_wheel_dist': -1948, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 5.48, 'IMU_Acc_x': 0.91, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17667, 'Left_wheel_dist': -1740, 'Right_wheel_dist': -1932, 'IMU_roll': -0.06, 'IMU_pitch': 0.06, 'IMU_yaw': 5.43, 'IMU_Acc_x': 0.93, 'IMU_Acc_y': -1.11, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17757, 'Left_wheel_dist': -1760, 'Right_wheel_dist': -1912, 'IMU_roll': -0.10, 'IMU_pitch': 0.05, 'IMU_yaw': 5.36, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -1.74, 'IMU_Acc_z': 9.64, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17860, 'Left_wheel_dist': -1786, 'Right_wheel_dist': -1888, 'IMU_roll': -0.08, 'IMU_pitch': 0.04, 'IMU_yaw': 5.29, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 10.00, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17964, 'Left_wheel_dist': -1819, 'Right_wheel_dist': -1881, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.22, 'IMU_Acc_x': -0.26, 'IMU_Acc_y': 0.94, 'IMU_Acc_z': 9.97, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 18066, 'Left_wheel_dist': -1853, 'Right_wheel_dist': -1895, 'IMU_roll': 0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 5.19, 'IMU_Acc_x': -1.41, 'IMU_Acc_y': 1.68, 'IMU_Acc_z': 10.09, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 18157, 'Left_wheel_dist': -1884, 'Right_wheel_dist': -1919, 'IMU_roll': 0.02, 'IMU_pitch': -0.05, 'IMU_yaw': 5.19, 'IMU_Acc_x': -1.12, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 9.32, 'Loop_dt': 25, 'Acc_Accu': 5}
