Wed Feb 10 13:42:49 2021
Program 14: 2s geradeaus bei 0.5m/s, 1s Drehung nach links bei 0/1 m/s, 4 Wiederholungen
{'Time': 15255, 'Left_wheel_dist': -2368, 'Right_wheel_dist': -1346, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.55, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 8.81, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15355, 'Left_wheel_dist': -2417, 'Right_wheel_dist': -1392, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 4.56, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 10.50, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15456, 'Left_wheel_dist': -2470, 'Right_wheel_dist': -1439, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 4.53, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 8.91, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15557, 'Left_wheel_dist': -2519, 'Right_wheel_dist': -1485, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 4.51, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.78, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15659, 'Left_wheel_dist': -2572, 'Right_wheel_dist': -1532, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 4.53, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.91, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15758, 'Left_wheel_dist': -2621, 'Right_wheel_dist': -1580, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 4.54, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.81, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 15859, 'Left_wheel_dist': -2676, 'Right_wheel_dist': -1633, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 4.53, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 10.15, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 15961, 'Left_wheel_dist': -2725, 'Right_wheel_dist': -1684, 'IMU_roll': -0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 4.55, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 9.88, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16060, 'Left_wheel_dist': -2778, 'Right_wheel_dist': -1729, 'IMU_roll': -0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 4.56, 'IMU_Acc_x': 0.58, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 16161, 'Left_wheel_dist': -2827, 'Right_wheel_dist': -1775, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 4.56, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.81, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16263, 'Left_wheel_dist': -2878, 'Right_wheel_dist': -1826, 'IMU_roll': -0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 4.56, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 10.00, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 16364, 'Left_wheel_dist': -2928, 'Right_wheel_dist': -1877, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 4.56, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 11.02, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 16455, 'Left_wheel_dist': -2977, 'Right_wheel_dist': -1919, 'IMU_roll': -0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 4.56, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 9.58, 'Loop_dt': 19, 'Acc_Accu': 7}
{'Time': 16555, 'Left_wheel_dist': -3026, 'Right_wheel_dist': -1965, 'IMU_roll': 0.00, 'IMU_pitch': 0.06, 'IMU_yaw': 4.53, 'IMU_Acc_x': 1.14, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 10.37, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 16659, 'Left_wheel_dist': -3103, 'Right_wheel_dist': -1996, 'IMU_roll': -0.10, 'IMU_pitch': 0.06, 'IMU_yaw': 4.46, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': -3.68, 'IMU_Acc_z': 9.20, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 16755, 'Left_wheel_dist': -3185, 'Right_wheel_dist': -2014, 'IMU_roll': -0.19, 'IMU_pitch': 0.08, 'IMU_yaw': 4.36, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': -3.30, 'IMU_Acc_z': 9.13, 'Loop_dt': 19, 'Acc_Accu': 8}
