Mon Aug 10 17:50:42 2020
Joystick Mode (120s)
{'Time': 15346, 'Left_wheel_dist': -469, 'Right_wheel_dist': -389, 'IMU_roll': -0.00, 'IMU_pitch': -0.01, 'IMU_yaw': 0.32, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15449, 'Left_wheel_dist': -500, 'Right_wheel_dist': -420, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 0.31, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15550, 'Left_wheel_dist': -533, 'Right_wheel_dist': -453, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 0.30, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15652, 'Left_wheel_dist': -566, 'Right_wheel_dist': -487, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.28, 'IMU_Acc_x': -0.26, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15755, 'Left_wheel_dist': -604, 'Right_wheel_dist': -522, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 0.26, 'IMU_Acc_x': -0.64, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.70, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15843, 'Left_wheel_dist': -639, 'Right_wheel_dist': -553, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 0.25, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15945, 'Left_wheel_dist': -677, 'Right_wheel_dist': -595, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.23, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16048, 'Left_wheel_dist': -719, 'Right_wheel_dist': -637, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 0.22, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.72, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 16149, 'Left_wheel_dist': -757, 'Right_wheel_dist': -673, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 0.21, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.76, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16251, 'Left_wheel_dist': -794, 'Right_wheel_dist': -712, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 0.20, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.86, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16354, 'Left_wheel_dist': -836, 'Right_wheel_dist': -750, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 0.18, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16442, 'Left_wheel_dist': -870, 'Right_wheel_dist': -790, 'IMU_roll': -0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 0.16, 'IMU_Acc_x': -0.41, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.82, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 16543, 'Left_wheel_dist': -916, 'Right_wheel_dist': -839, 'IMU_roll': -0.04, 'IMU_pitch': -0.03, 'IMU_yaw': 0.15, 'IMU_Acc_x': -0.39, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 9.77, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16647, 'Left_wheel_dist': -960, 'Right_wheel_dist': -885, 'IMU_roll': -0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 0.12, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16751, 'Left_wheel_dist': -1005, 'Right_wheel_dist': -925, 'IMU_roll': -0.04, 'IMU_pitch': 0.00, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16855, 'Left_wheel_dist': -1044, 'Right_wheel_dist': -960, 'IMU_roll': -0.06, 'IMU_pitch': 0.03, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16945, 'Left_wheel_dist': -1075, 'Right_wheel_dist': -991, 'IMU_roll': -0.06, 'IMU_pitch': 0.03, 'IMU_yaw': 0.04, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 5}
